origem,destino,distancia,tempo,carregamento
Eletroposto Kinsol - Alicante,Hotel Slaviero Essential - Zletric,337.6399038046828,202.58394228280966,2894.0563183258523
Eletroposto Kinsol - Alicante,Posto Sinuelo Sentido Sul,385.6535191912751,231.39211151476508,462.78422302953015
Eletroposto Kinsol - Alicante,EDP | Graal 125 Sul (Plug&GO),119.14165498587305,71.48499299152382,47.65666199434922
Eletroposto Kinsol - Alicante,EDP | Graal Trevo (Plug&GO),304.294979249473,182.5769875496838,121.7179916997892
Eletroposto Kinsol - Alicante,Posto San Remo,229.86730981365977,137.92038588819588,626.9108449463448
Eletroposto Kinsol - Alicante,Pão de Açúcar Jardim Paulista,7.389741419787352,4.433844851872411,138.55765162101284
Eletroposto Kinsol - Alicante,Shopping Cidade São Paulo,8.023554263497573,4.814132558098544,68.77332225855064
Eletroposto Kinsol - Alicante,Posto Guararema,57.120653252387974,34.27239195143279,68.54478390286557
Eletroposto Kinsol - Alicante,Posto GAP São José dos Campos,91.58706057118825,54.95223634271295,109.9044726854259
Eletroposto Kinsol - Alicante,Graal dos 500,174.17140823552785,104.50284494131671,209.00568988263342
Eletroposto Kinsol - Alicante,Eletroposto Graal Estrela,224.73272121906587,134.8396327314395,269.679265462879
Eletroposto Kinsol - Alicante,Posto Mamão,296.6503937666547,177.99023625999283,355.98047251998565
Eletroposto Kinsol - Alicante,Posto Nacional,296.75635135485214,178.05381081291128,356.10762162582256
Eletroposto Kinsol - Alicante,Dimension Office,338.71387827086016,203.2283269625161,5492.657485473408
Eletroposto Kinsol - Alicante,Supermercado Zona Sul,334.6962817386625,200.8177690431975,2713.7536357188847
Eletroposto Kinsol - Alicante,Shopping Village Mall Barra,339.5276505511407,203.71659033068443,2752.9268963606005
Eletroposto Kinsol - Alicante,Posto Ipiranga Freeway Barra,341.04046176890944,204.62427706134565,2765.1929332614277
Eletroposto Kinsol - Alicante,Bossa Nova Mall,360.08320786929033,216.0499247215742,5839.18715463714
Eletroposto Kinsol - Alicante,Barra Shopping,338.8078319203654,203.28469915221922,2747.0905290840437
Eletroposto Kinsol - Alicante,BMW Euroville,387.3584555596312,232.41507333577871,3140.74423426728
Eletroposto Kinsol - Alicante,Empório Maria Maria,380.22880548535807,228.13728329121483,3082.936260692092
Eletroposto Kinsol - Alicante,Shopping Metropolitano Barra,338.07825243587104,202.84695146152262,2741.1750197503056
Eletroposto Kinsol - Alicante,EDP | Graal Coral (Plug&GO),198.8428310815502,119.30569864893013,68.17468494224578
Eletroposto Kinsol - Alicante,EDP | Graal Petropen (Plug&GO),172.2553650005708,103.35321900034249,68.90214600022833
Eletroposto Kinsol - Alicante,EDP | Graal Buenos Aires (Plug&GO),162.69871618242504,97.61922970945503,65.07948647297002
Eletroposto Kinsol - Alicante,EDP | Graal Topázio (Plug&GO),135.45146476080342,81.27087885648204,46.44050220370403
Eletroposto Kinsol - Alicante,Posto BR Mania,355.0224473034812,213.01346838208875,426.0269367641775
Eletroposto Kinsol - Alicante,BR Mania,355.0224473034812,213.01346838208875,426.0269367641775
Eletroposto Shell - GTMaxEnergy,Graal Itatiaia,281.10854207007293,168.66512524204376,140.55427103503646
Eletroposto Shell - GTMaxEnergy,Eletroposto Kinsol - Alicante,86.3820088614745,51.8292053168847,86.3820088614745
Eletroposto Shell - GTMaxEnergy,Eletrograal - Graal Pinda,183.15026696459643,109.89016017875785,91.57513348229821
Eletroposto Shell - GTMaxEnergy,Graal 56,32.14009006689777,19.284054040138663,16.070045033448885
Eletroposto Shell - GTMaxEnergy,Eletrograal Alemão,253.43669972444673,152.06201983466804,126.71834986222338
Eletroposto Shell - GTMaxEnergy,Estação Maru,331.9622229969021,199.17733379814126,331.9622229969021
Eletroposto Shell - GTMaxEnergy,Plasticos Paraná,340.45662858798994,204.27397715279395,127.67123572049621
Eletroposto Shell - GTMaxEnergy,Rodovia Washington Luís,126.35793977442339,75.81476386465403,126.35793977442337
Eletroposto Shell - GTMaxEnergy,Rodovia Anhanguera,51.281052520317196,30.768631512190318,51.281052520317196
Eletroposto Shell - GTMaxEnergy,Vale Sul,337.6496771304948,202.5898062782969,337.6496771304948
Eletroposto Shell - GTMaxEnergy,Reataurante Merlo,369.540615935174,221.7243695611044,739.081231870348
Eletroposto Shell - GTMaxEnergy,Metronorte,393.602961298719,236.1617767792314,393.602961298719
Eletroposto Shell - GTMaxEnergy,Posto Calopysita,38.07916560878577,22.84749936527146,76.15833121757154
Eletroposto Shell - GTMaxEnergy,Ev Eletroposto Restaurante Serra Da Graciosa,308.87091028904166,185.322546173425,617.7418205780833
Eletroposto Shell - GTMaxEnergy,Posto Galapagos - RJ,396.88968663004607,238.13381197802764,132.29656221001534
Eletroposto Shell - GTMaxEnergy,GTMaxEnergy - Margutti Multimarcas,37.55565363666298,22.53339218199779,56.33348045499447
Eletroposto Shell - GTMaxEnergy,Hub de Recarga Go Electric - Riacho Grande,104.22053314321877,62.532319885931265,17.37008885720313
Eletroposto Shell - GTMaxEnergy,Paradouro Batistella ,114.62964632632377,68.77778779579427,229.25929265264753
Eletroposto Shell - GTMaxEnergy,Luminares Energia Solar,26.917335683845653,16.150401410307392,40.37600352576848
Eletroposto Shell - GTMaxEnergy,Eletrograal 67,27.86043328390547,16.71625997034328,55.72086656781094
Eletroposto Shell - GTMaxEnergy,Avenida Interlagos,85.82462084246903,51.49477250548142,234.06714775218828
Eletroposto Shell - GTMaxEnergy,Cluster Go Electric - Cajamar,47.92051519090098,28.752309114540587,23.96025759545049
Eletroposto Shell - GTMaxEnergy,Posto Petrobull,385.86885217934895,231.52131130760938,1052.36959685277
Eletroposto Shell - GTMaxEnergy,Shell Recharge - Zarp Limão (Carrefour),72.92024063715738,43.752144382294425,182.30060159289343
Eletroposto Shell - GTMaxEnergy,Shell Recharge - Posto Arinella Bandeirantes,79.44667654386835,47.66800592632101,79.44667654386835
Eletroposto Shell - GTMaxEnergy,Shell Recharge - Posto Shell São Gualter,72.55838725622081,43.53503235373249,87.07006470746498
Eletroposto Shell - GTMaxEnergy,Posto Rudnick,384.92860332960254,230.95716199776152,1049.8052818080068
Eletroposto Shell - GTMaxEnergy,Avenida da Liberdade,33.32124353336462,19.992746120018776,90.87611872735806
Eletroposto Shell - GTMaxEnergy,AGL Eletrônicos do Brasil,399.7152617479006,239.8291570487404,799.4305234958013
Eletroposto Shell - GTMaxEnergy,Posto Branquinho,385.80902272523866,231.48541363514317,3306.934480502046
Eletroposto Shell - GTMaxEnergy,Eletroposto GoElectric,147.43458641143857,88.46075184686315,73.71729320571929
Eletroposto Shell - GTMaxEnergy,Rodovia Presidente Dutra - Pista Lateral,318.54421860262516,191.12653116157512,637.0884372052503
Eletroposto Shell - GTMaxEnergy,Eletroposto Novo Pedágio,363.5046734822487,218.1028040893492,145.40186939289947
Eletroposto Shell - GTMaxEnergy,Maxi Shopping Jundiai,34.07944632485792,20.447667794914754,292.1095399273536
Eletroposto Shell - GTMaxEnergy,ATM EVs,335.4693102097062,201.2815861258237,503.20396531455924
Eletroposto Shell - GTMaxEnergy,Posto Moinho I,205.91945685888987,123.55167411533392,247.10334823066785
Eletroposto Shell - GTMaxEnergy,Posto Galo Branco Franca - Shell Recharge,280.314152567628,168.1884915405768,336.3769830811536
Eletroposto Shell - GTMaxEnergy,Posto Rabi Ibate,155.88978940794752,93.5338736447685,62.355915763179006
Eletroposto Shell - GTMaxEnergy,Posto BR - Pau Seco,177.28743265035482,106.3724595902129,70.91497306014193
Eletroposto Shell - GTMaxEnergy,Posto Bizungao III,170.24452403109285,102.1467144186557,204.2934288373114
Eletroposto Shell - GTMaxEnergy,Auto Posto Orbi,128.6942649573696,77.21655897442176,154.43311794884352
Eletroposto Shell - GTMaxEnergy,Volvo Posto Crossville,308.5863036941943,185.15178221651658,123.43452147767775
Eletroposto Shell - GTMaxEnergy,Frango Assado Itu - Tupinambá,37.639042928583265,22.58342575714996,25.09269528572218
Eletroposto Shell - GTMaxEnergy,Porsche Service | Body & Paint Stuttgart,79.67872690514326,47.80723614308596,13.659210326595987
Eletroposto Shell - GTMaxEnergy,Porsche Center São Paulo - Stuttgart,78.51755158712281,47.11053095227369,13.460151700649625
Eletroposto Shell - GTMaxEnergy,Thor Volvo - RP,215.97196780883294,129.58318068529977,431.9439356176659
Eletroposto Shell - GTMaxEnergy,Audi Center Ribeirão Preto,215.4918974390685,129.2951384634411,86.1967589756274
Eletroposto Shell - GTMaxEnergy,Eurobike Special BYD,214.512924643903,128.7077547863418,429.025849287806
Eletroposto Shell - GTMaxEnergy,Graal Topazio,215.96265920310483,129.57759552186292,86.38506368124195
Eletroposto Shell - GTMaxEnergy,Frango Assado,194.40294600626282,116.6417676037577,77.76117840250512
Eletroposto Shell - GTMaxEnergy,Posto Jardim do Trevo,21.583338027091855,12.950002816255113,25.900005632510226
Eletroposto Shell - GTMaxEnergy,Audi Center Alto da XV,332.0967475436089,199.25804852616534,132.83869901744356
Eletroposto Shell - GTMaxEnergy,Posto Tulio Caraguatá,310.54778135297863,186.32866881178717,2517.95498394307
